Total Packets	Time	Avg packet/sec	Avg packet size	Total bytes	Avg bytes/sec	RST Cnt	Src IPs	Dest IPs	Legitimate
295	224.25	1.315	72.129	21278	94.885	0	1	6	0
127	235.84	0.538	667.134	84726	359.245	0	8	15	0
361	79.836	4.522	917.548	331235	4148.946	4	4	4	0
813	188.946	4.303	7898.533	6421507	33985.968	0	3	3	0
166	245.973	0.675	75.904	12600	51.225	2	1	8	0
575	307.114	1.872	121.106	69636	226.743	0	7	8	0
298	168.353	1.77	237.748	70849	420.836	1	8	12	0
52	429.694	0.1	207.5	10808	25	0	4	4	1
16	301.533	0.1	368.5	5893	19	0	3	3	1
74	171.037	0.4	168.5	12502	73	0	4	4	1
696	538.694	1.3	995.5	692996	1286	2	4	4	0
706	3593.499	0.2	604.5	426920	118	0	7	7	0
758	3593.499	0.2	588.5	445818	124	2	7	7	0
364	73.308	5	874.5	318330	4342	2	4	4	0
397	101.413	3.9	851.5	338145	3334	1	5	5	0
345	12.782	27	890.5	307079	24000	1	4	4	0
376	41.111	9.1	860.5	323521	7869	1	4	4	0
359	52.931	6.8	889.5	319413	6034	2	4	4	0
338	177.888	1.9	913.5	308841	1736	2	4	4	0
453	98.534	4.6	898.5	406801	4128	2	5	5	0
406	87.574	4.6	883.5	358748	4096	2	5	5	0
394	143.008	2.8	797.5	314146	2196	3	5	5	0
745	106.878	7	722.5	538273	5036	4	6	6	0
430	127.491	3.4	786.5	338409	2654	3	6	6	0
393	114.438	3.4	792.5	311558	2722	3	6	6	0
410	94.355	4.3	802.5	328875	3485	2	5	5	0
447	15.101	29.6	878.5	392691	26000	3	6	6	0
401	98.523	4.1	815.5	326970	3318	3	6	6	0
368	173.437	2.1	770.5	283576	1635	5	5	5	0
277	62.897	4.4	693.5	192033	3053	1	5	5	0
283	178.351	1.6	757.5	214231	1201	3	5	5	0
328	267.083	1.2	789.5	258842	969	1	5	5	0
190	172.64	1.1	812.5	154288	893	2	4	4	0
303	79.796	3.8	858.5	260255	3261	3	4	4	0
2599	279.637	9.2	928.5	2375501	8494	4	5	5	0
434	622.759	0.7	709.5	307902	494	2	5	5	0
149	125.362	1.2	736.5	109753	875	0	5	5	0
616	36.53	16.9	844.5	520331	14000	2	4	4	0
578	26.806	21.6	1044.5	603727	22000	1	4	4	0
681	1.513	450	963.5	656130	433000	1	3	3	0
306	119.9	2.55	856.193	261995	2183.475	1	4	4	0
184	79.179	2.324	845.549	155581	1964.918	1	4	4	0
253	39.448	6.414	886.249	224221	5683.97	1	4	4	0
247	119.987	2.059	991.401	244876	2040.857	1	4	4	0
209	95.081	2.198	854.287	178546	1877.823	2	4	4	0
46654	695.472	67.082	7794.034	37044839	53265.723	327	10	6	0
384	216.323	1.775	955.138	366773	1695.486	0	4	4	0
408	370.064	1.103	894.002	264753	985.648	0	4	4	0
357	102.182	3.494	873.104	311698	3050.42	3	8	8	0
355	231.171	1.536	961.58	341361	1476.657	0	4	4	0
355	101.919	3.483	738.482	262161	2572.256	1	9	9	0
405	160.546	2.523	821.449	332687	2072.224	2	9	9	0
620	270.059	2.296	921.613	571400	2115.836	1	4	4	0
386	93.858	3.921	624.345	229759	2447.939	1	4	4	0
256	131980	1.94	767.176	201517	1526.88	1	5	5	0
269	195.704	1.375	805.342	216637	1106.96	1	4	4	0
191	90.325	2.115	804.576	153674	1701.349	2	4	4	0
251	76.343	3288	810.343	203396	2664.243	1	4	4	0
303	82.173	3.687	756.241	229141	2788.515	1	5	5	0
407	106.568	3.819	807.654	328715	3084.545	2	5	5	0
346	90.179	3.837	763.572	264196	2929.681	1	4	4	0
138	42.889	3.218	782159	107938	2516.698	1	3	3	0
7807	14.645	533.1	959.5	7493861	511000	0	3	3	1
7652	25.357	301.8	960.5	7351118	289000	0	3	3	1
943	166.455	5.7	919.5	866915	5208	10	7	7	1
522	67.752	7.7	784.5	409274	6040	0	5	5	1
4866	1010.508	4.8	968.5	4712775	4663	5	5	5	1
9	0.064	141.4	258.5	2328	36000	0	2	2	1
5944	309.412	19.2	722.5	4291777	13000	17	68	65	1
915	41.18	22.2	335.5	306591	7445	24	62	62	1
898	45.238	19.9	340.5	305933	6762	13	65	65	1
744	26.834	27.7	283.5	210789	7855	11	56	56	1
787	44.185	17.8	300.5	236600	5354	1	55	54	1
407	17.225	23.6	317.5	129091	1494	2	42	41	1
818	29.288	27.9	348.5	284932	9728	5	48	49	1
738	34.886	21.2	305.5	225659	6472	11	51	54	1
840	15.413	54.5	416.5	349591	22000	1	46	47	1
1648	364.94	4.516	552	909451	2492.058	17	13	13	0
1102	86.443	12.748	841	926756	10720.962	2	4	4	0
885	197.793	4.474	1025	907549	4588.385	4	5	5	0
2403	273.401	8.789	541	1300444	4756.539	36	26	25	0
568	22.681	25.043	873	495924	21865.139	1	4	4	0
1006	59.904	16.793	613	616286	10287.84	5	4	4	0
1861	362.495	5.134	927	1724338	4756.862	4	7	7	0
1028	233.673	4.399	1027	1055936	4518.855	3	6	6	0
1605	374.014	4.291	769	1233519	3298.057	8	11	11	0
5176	56.979	90.84	902	4666790	81903.004	9	8	8	0
1829	216.323	8.455	857	1567378	7245.556	3	6	6	0
3176	875.44	3.628	919	2919310	3334.678	1	6	7	0
