Source	Destination	Protocol	Length	Time to live	Header Checksum	Header Length	Source Port	Destination Port	Legitimate
3232266939	692942454	6	60	128	61713	20	49368	80	0
3232266939	692942454	6	60	128	61712	20	49368	80	0
3232266939	692942454	6	60	128	61711	20	49368	80	0
3232266939	692942454	6	60	128	61710	20	49368	80	0
692942454	3232266939	6	1423	54	33707	20	80	49368	0
692942454	3232266939	6	1423	54	33706	20	80	49368	0
3232266939	692942454	6	60	128	61709	20	49368	80	0
3232266939	692942454	6	60	128	61708	20	49368	80	0
3232266939	692942454	6	60	128	61707	20	49368	80	0
692942454	3232266939	6	1423	54	33705	20	80	49368	0
3232266939	692942454	6	60	128	61706	20	49368	80	0
692942454	3232266939	6	1423	54	33704	20	80	49368	0
3232266939	692942454	6	60	128	61705	20	49368	80	0
692942454	3232266939	6	1423	54	33703	20	80	49368	0
692942454	3232266939	6	1423	54	55602	20	80	49369	0
3232266939	692942454	6	60	128	61704	20	49368	80	0
692942454	3232266939	6	1423	54	55601	20	80	49369	0
3232266939	692942454	6	60	128	61703	20	49369	80	0
692942454	3232266939	6	1423	54	55600	20	80	49369	0
692942454	3232266939	6	1423	54	55599	20	80	49369	0
3232266939	692942454	6	60	128	61702	20	49369	80	0
692942454	3232266939	6	1423	54	55598	20	80	49369	0
692942454	3232266939	6	1423	54	55597	20	80	49369	0
3232266939	692942454	6	60	128	61701	20	49369	80	0
692942454	3232266939	6	1423	54	55596	20	80	49369	0
692942454	3232266939	6	1423	54	55595	20	80	49369	0
692942454	3232266939	6	1423	54	55594	20	80	49369	0
692942454	3232266939	6	1423	54	55593	20	80	49369	0
692942454	3232266939	6	1423	54	55592	20	80	49369	0
692942454	3232266939	6	1423	54	55591	20	80	49369	0
692942454	3232266939	6	1423	54	55590	20	80	49369	0
692942454	3232266939	6	1423	54	55589	20	80	49369	0
692942454	3232266939	6	1423	54	55588	20	80	49369	0
692942454	3232266939	6	1423	54	55587	20	80	49369	0
692942454	3232266939	6	1423	54	55586	20	80	49369	0
692942454	3232266939	6	1423	54	55585	20	80	49369	0
692942454	3232266939	6	1423	54	55584	20	80	49369	0
692942454	3232266939	6	1423	54	55583	20	80	49369	0
692942454	3232266939	6	1423	54	55582	20	80	49369	0
692942454	3232266939	6	1423	54	55581	20	80	49369	0
692942454	3232266939	6	1423	54	55580	20	80	49369	0
692942454	3232266939	6	1423	54	55579	20	80	49369	0
692942454	3232266939	6	1423	54	55578	20	80	49369	0
692942454	3232266939	6	1423	54	55577	20	80	49369	0
692942454	3232266939	6	1423	54	55576	20	80	49369	0
692942454	3232266939	6	1423	54	55575	20	80	49369	0
692942454	3232266939	6	1423	54	55574	20	80	49369	0
692942454	3232266939	6	1423	54	55573	20	80	49369	0
3232266939	692942454	6	60	128	61700	20	49369	80	0
3232266939	692942454	6	60	128	61699	20	49369	80	0
3232266939	692942454	6	60	128	61698	20	49369	80	0
3232266939	692942454	6	60	128	61697	20	49369	80	0
3232266939	692942454	6	60	128	61696	20	49369	80	0
3232266939	692942454	6	60	128	61695	20	49369	80	0
3232266939	692942454	6	60	128	61694	20	49369	80	0
3232266939	692942454	6	60	128	61693	20	49369	80	0
3232266939	692942454	6	60	128	61692	20	49369	80	0
3232266939	692942454	6	60	128	61691	20	49369	80	0
3232266939	692942454	6	60	128	61690	20	49369	80	0
3232266939	692942454	6	60	128	61689	20	49369	80	0
3232266939	692942454	6	60	128	61688	20	49369	80	0
3232266939	692942454	6	60	128	61687	20	49369	80	0
3232266939	692942454	6	60	128	61686	20	49369	80	0
3232266939	692942454	6	60	128	61685	20	49369	80	0
3232266939	692942454	6	60	128	61684	20	49369	80	0
3232266939	692942454	6	60	128	61683	20	49369	80	0
3232266939	692942454	6	60	128	61682	20	49369	80	0
3232266939	692942454	6	60	128	61681	20	49369	80	0
3232266939	692942454	6	60	128	61680	20	49369	80	0
3232266939	692942454	6	60	128	61679	20	49369	80	0
3232266939	692942454	6	60	128	61678	20	49369	80	0
3232266939	692942454	6	60	128	61677	20	49369	80	0
3232266939	692942454	6	60	128	61676	20	49369	80	0
3232266939	692942454	6	60	128	61675	20	49369	80	0
3232266939	692942454	6	60	128	61674	20	49369	80	0
692942454	3232266939	6	1423	54	55572	20	80	49369	0
